setor,subsetor,site,telefones,emails
ENGENHARIA,Segmentos estudantis,https://www2.ufjf.br/engenharia/ensino/atividades-extracurriculares,,
ENGENHARIA AMBIENTAL E SANITÁRIA,Coordenação do Curso,https://www2.ufjf.br/engsanitariaeambiental,(32) 2102-3429,coord.eas@ufjf.br
ENGENHARIA CIVIL,Chefia de Departamento,,(32) 2102-3407,
ENGENHARIA CIVIL,Coordenação do Curso/Secretaria,https://www.ufjf.br/engenhariacivil,(32) 2102-3406,coordcivil.engenharia@ufjf.br
ENGENHARIA ELÉTRICA,Departamento de Circuitos Elétricos,,(32) 2102-3408,depto.circuitos@ufjf.br
ENGENHARIA ELÉTRICA,Mestrado e Doutorado em Engenharia Elétrica,,(32) 2102-3442,ppee@ufjf.br
ENGENHARIA ELÉTRICA,Secretaria,https://www.ufjf.br/engenhariaeletrica,(32) 2102-3444,
ESCOLA DE ARTES PRÓ-MÚSICA,Contato geral,https://www2.ufjf.br/cecom/,(32) 2102-6339,administracao.mam@ufjf.edu.br
FARMÁCIA,Biblioteca da Farmácia e Odontologia,,,biblioteca.odontologia@ufjf.br
FARMÁCIA,Coordenação,,(32) 2102-3803,coord.farmacia@ufjf.br
FARMÁCIA,Direção,,(32) 2102-3801,diretoria.farmacia@ufjf.br
FARMÁCIA,Secretaria,https://www.ufjf.br/farmacia,(32) 2102-3802,
FILOSOFIA,Chefia de Departamento,,,depto.filosofia@ufjf.br
FILOSOFIA,Coordenação do Curso,https://www.ufjf.br/filosofia,(32) 2102-3107,coord.filosofia@ufjf.br
FÍSICA,Coordenação do curso de Licenciatura em Física a Distância,https://www.fisica.ufjf.br/ead,(32) 2102-3366,fisicaead@ice.ufjf.br
FÍSICA,Coordenação do curso de Licenciatura em Física (noturno),https://www.ufjf.br/fisnoturno,(32) 2102-3316,fisnoturnoufjf@gmail.com
FÍSICA,Coordenação do Programa de Mestrado Nacional Profissional em Ensino de Física (MNPEF),https://www.ufjf.br/profis,(32) 2102-3307,profis@ice.ufjf.br
FÍSICA,Coordenação do Programa de Pós-Graduação em Física (Mestrado e Doutorado),https://www.ufjf.br/ppgfisica,(32) 2102-3307,ppgfisica@ice.ufjf.br
FÍSICA,Coordenação dos cursos de Bacharelado e Licenciatura em Física (diurnos),https://www.ufjf.br/fisdiurno,(32) 2102-3316,coord.fisicad@ice.ufjf.br
FÍSICA,Laboratórios de Ensino de Física,,(32) 2102-3331,labfisicaufjf@gmail.com
FÍSICA,Secretaria,https://www.ufjf.br/fisica,(32) 2102-3307 | (32) 2102-3312,secretaria.fisica@ufjf.br
FISIOTERAPIA,Coordenação Graduação,,(32) 2102-3837,coord.fisioterapia@ufjf.br
FISIOTERAPIA,Coordenação Mestrado,https://www2.ufjf.br/ppgcrdf,(32) 2102-3256,mestrado.fisioterapia@ufjf.br
FISIOTERAPIA,Secretaria,https://www.ufjf.br/facfisio,(32) 2102-3843,secretaria.facfisio@ufjf.br
FORUM DA CULTURA,Contato geral,https://www.ufjf.br/forumdacultura,(32) 3215-3850,forumdacultura@ufjf.br
GARRA,,,,
GEOGRAFIA,Coordenação do Curso,https://www.ufjf.br/geografia,(32) 2102-3192,coord.geografia@ufjf.br
GERÊNCIA DE PÓS-COMPRA,,https://www2.ufjf.br/gerenciaposcompra/,(32) 2102-3746,gerencia.poscompra@ufjf.br
HISTÓRIA,Coordenação do Curso,https://www.ufjf.br/historia,(32) 2102-3109,coordenacao.historia@ufjf.br
HOSPITAL UNIVERSITÁRIO – HU,Ambulatório de Hepatologia e Gastroenterologia,,(32) 4009-5302 | (32) 4009-5310,
HOSPITAL UNIVERSITÁRIO – HU,Fisioterapia (Recepção),,(32) 4009-5372,
HOSPITAL UNIVERSITÁRIO – HU,Gerência de ensino e Pesquisa - comitê de Ética em Presquisa (CEP),,55329880201,
HOSPITAL UNIVERSITÁRIO – HU,Gerência de ensino e Pesquisa - HU Revista,,(32) 4009-5408,
HOSPITAL UNIVERSITÁRIO – HU,Métodos Gráficos (Recepção),,(32) 4009-5372,
HOSPITAL UNIVERSITÁRIO – HU,Nefrologia (Recepção),,(32) 4009-5332,
HOSPITAL UNIVERSITÁRIO – HU,Ouvidoria,,(32) 4009-5344,
HOSPITAL UNIVERSITÁRIO – HU,Recepção Ambulatório (Cardiologia),,(32) 4009-5435,
HOSPITAL UNIVERSITÁRIO – HU,Recepção Geral Ambulatório,,(32) 4009-5401,
HOSPITAL UNIVERSITÁRIO – HU,"Recepção Geral Ambulatório Bloco C(Saúde da Mulher, Doenças raras, CRIE, Ambulatório de Cuidados com a Pele e Ambulatório Multprofissional).",,(32) 4009-5430,
HOSPITAL UNIVERSITÁRIO – HU,Unidade de comunicação Regional 24(UCR 24),,(32) 4009-5393,
HOSPITAL UNIVERSITÁRIO – HU,Unidade de Endoscopia (Recepção),,(32) 4009-5365,
HOSPITAL UNIVERSITÁRIO – HU,Unidade de Imagem da Mulher (Recepção),,(32) 4009-5390,
HOSPITAL UNIVERSITÁRIO – HU,Unidade de Imagem Geral (Recepção),,(32) 4009-5391,
HOSPITAL UNIVERSITÁRIO – HU SANTA CATARINA,Gerência de ensino e Pesquisa - Comissão de Residência Médica (COREME),,(32) 4009-5167,coreme.hu-ufjf@ebserh.gov.br
HOSPITAL UNIVERSITÁRIO – HU SANTA CATARINA,PORTARIA,,(32) 4009-5131,
HOSPITAL UNIVERSITÁRIO – HU SANTA CATARINA,RECEPÇÃO CAPS,,(32) 4009-5400,
HOSPITAL UNIVERSITÁRIO – HU SANTA CATARINA,SECRETARIA,,(32) 4009-5159,
IF SUDESTE MG,Coordenação Geral de Assuntos e Registros Acadêmicos,,(32) 4009-3003,cgara.jf@ifsudestemg.edu.br
IF SUDESTE MG,Demais setores,,,
IF SUDESTE MG,Diretoria de Ensino,https://www.ifsudestemg.edu.br,(32) 4009-3005,dde.jf@ifsudestemg.edu.br
IF SUDESTE MG,ENCCEJA,https://www.ifsudestemg.edu.br/institucional/pro-reitorias/ensino/programas-e-projetos/encceja,(32) 4009-3003,secretaria.jf@ifsudestemg.edu.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Biblioteca do ICB,,(32) 2102-3203,biblioteca.icb@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Bio-Ciclos,,(32) 99113-1854 | (32) 99806-3917,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Coordenação do Curso de Ciências Biológicas,,(32) 2102-3204,coord.biologia@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Coordenação do Curso de Nutrição,,(32) 2102-3229,coord.nutricao@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Anatomia,,(32) 2102-3205,depto.anatomia@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Biologia,,(32) 2102-3206 | (32) 2102-6302,depto.biologia@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Bioquímica,,(32) 2102-3208,dep.bioquimica@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Botânica,,(32) 2102-3207,departamento.botanica@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Farmacologia,,,depto.far@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Fisiologia,,(32) 2102-3211,depto.fsi@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Morfologia/Histologia,,(32) 2102-3212,depto.morfologia@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Nutrição,,(32) 2102-3234,depto.nutricao@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Departamento de Zoologia,,(32) 2102-3218,zoologia@icb.ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,direção,,(32) 2102-3200,direcao.icb@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,DPMI/Imunologia,,(32) 2102-3214,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,DPMI/Microbiologia,,(32) 2102-3213,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,DPMI/Parasitologia,,(32) 2102-3219,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Herbário,,(32) 2102-3224,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,IMUNOCET/CPCELL,,(32) 2102-6320,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Laboratório de Bioquímica,,(32) 2102-3217,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Laboratório de Farmacologia – Prof. Jorge,,(32) 2102-3369,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,LIP,,(32) 2102-6371,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Malacologia,,(32) 2102-3221,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Pós Graduação Ciências Biológicas – EAD,,(32) 2102-6372,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Pós-Graduação em Biodiversidade e Conservação da Natureza,,(32) 2102-3223,ppg.biodiversidade@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Pós Graduação em Ecologia,,(32) 2102-3227,
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,PPG Ciências Biológicas,,(32) 2102-3220,ppg.cbio@ufjf.br
INSTITUTO DE CIÊNCIAS BIOLÓGICAS – ICB,Secretaria,https://www.ufjf.br/icb,(32) 2102-3201 | (32) 2102-3202 | (32) 2102-3216,secretaria.icb@ufjf.br
INSTITUTO DE CIÊNCIAS EXATAS – ICE,Secretaria do Curso de Graduação em Ciências Exatas (Diurno),,(32) 2102-3326,secretaria.estatistica@ufjf.br
INSTITUTO DE CIÊNCIAS EXATAS – ICE,Secretaria do Departamento de Ciência da Computação,,(32) 2102-3311,coord.cienciasexatas@ice.ufjf.br
INSTITUTO DE CIÊNCIAS EXATAS – ICE,Secretaria do Departamento de Estatística,,(32) 2102-3306,secretaria.estatistica@ufjf.br
INSTITUTO DE CIÊNCIAS EXATAS – ICE,Secretaria do Departamento de Física,,(32) 2102-3307,secretaria.fisica@ufjf.br
INSTITUTO DE CIÊNCIAS EXATAS – ICE,Secretaria do Departamento de Matemática,,(32) 2102-3308,depto.mat@ufjf.br
INSTITUTO DE CIÊNCIAS EXATAS – ICE,Secretaria do Departamento de Química,,(32) 2102-3310,depto.quimica@ice.ufjf.br
INSTITUTO DE CIÊNCIAS EXATAS – ICE,Secretaria do Instituto de Ciências Exatas – ICE,https://www2.ufjf.br/ice,(32) 2102-3301,secretaria.ice@ice.ufjf.br
INSTITUTO DE CIÊNCIAS EXATAS – ICE,"Secretaria dos Cursos de Graduação em Computação (Diurno e Noturno), Estatística (Diurno), Física (Diurno e Noturno), Matemática (Diurno e Noturno), Sistemas de Informação (Noturno) e Química (Diurno e Noturno)",,(32) 2102-3316,coordenacoes.ice@ufjf.br
INSTITUTO DE CIÊNCIAS HUMANAS – ICH,Secretaria,https://www2.ufjf.br/ich,(32) 2102-3101,secretaria.ich@ufjf.br
LETRAS,Biblioteca da Letras,,,biblioteca.letras@ufjf.br
LETRAS,Biblioteca do ICH,,(32) 2102-3111,biblioteca.ich@ufjf.br
LETRAS,Coordenação do curso de Bacharelado em Letras,,,coord.letrasbacharelado@ufjf.br
LETRAS,Coordenação do curso de Letras-Libras,https://www.ufjf.br/letraslibras,(32) 2102-3126,coord.letraslibras@ufjf.br
LETRAS,Coordenação do curso de Licenciatura em Letras – Integral,,(32) 2102-3126,coord.letrasintegral@ufjf.br
LETRAS,Coordenação do curso de Licenciatura em Letras – Noturno,,(32) 2102-3126,coord.letrasnoturno@ufjf.br
LETRAS,Direção,,(32) 2102-3151,direcao.letras@ufjf.br
LETRAS,Mestrado Profissional em Letras (ProfLetras),https://www.ufjf.br/profletras,(32) 2102-3112,mestrado.profletras@ufjf.br
LETRAS,Programa de Pós-Graduação em Letras: Estudos Literários,https://www2.ufjf.br/ppgletras,(32) 2102-3118,ppg.letras@ufjf.br
LETRAS,Programa de Pós-Graduação em Linguísticas,https://www2.ufjf.br/ppglinguistica,(32) 2102-3134,ppg.linguistica@ufjf.br
LETRAS,Secretaria,https://www2.ufjf.br/faclet,(32) 2102-3150 | (32) 2102-3153,secretaria.letras@ufjf.br
MATEMÁTICA,Chefia do Departamento de Matemática,,,chefia.dm@ice.ufjf.br
MATEMÁTICA,Coordenação da Graduação em Matemática diurno (modalidade licenciatura e bacharelado – códigos 65F/65AF/65FB/65FL),https://www2.ufjf.br/matematica,(32) 2102-3316,coord.matdiurno@ufjf.br
MATEMÁTICA,Coordenação da Graduação em Matemática noturno (modalidade licenciatura – código 82A),,(32) 2102-3316,ccmat.ufjf@gmail.com
MATEMÁTICA,Coordenação da Graduação em Matemátida EAD (modalidade licenciatura – código 62 – vários polos):,https://www.cead.ufjf.br/curso/matematica,(32) 2102-3488,secretaria.limatematica.ead@ufjf.br
MATEMÁTICA,Mestrado Acadêmico,https://www.ufjf.br/mestradomatematica,(32) 2102-3328 | (32) 2102-3308,
MATEMÁTICA,Mestrado Educação Matemática,https://www.ufjf.br/mestradoedumat,(32) 2102-3342 | (32) 2102-3308,
MATEMÁTICA,PROFMAT,https://www.ufjf.br/profmat,(32) 2102-3339,
MATEMÁTICA,Secretaria,https://www2.ufjf.br/mat,(32) 2102-3308 | (32) 2102-3315,depto.mat@ufjf.br
MEDICINA,Biblioteca da Medicina,,,biblioteca.medicina@ufjf.br
MEDICINA,Comissão de Estágios da Medicina – COE,,(32) 2102-6842,comissao.estagiosmedicina@ufjf.br
MEDICINA,Coordenação de Curso,,(32) 2102-3844,coord.medicina@ufjf.br
MEDICINA,Secretaria,https://www.ufjf.br/medicina,(32) 2102-3841 | (32) 2102-3845,secretaria.medicina@ufjf.br
MEDICINA VETERINÁRIA,Clínica Veterinária de Ensino,https://www2.ufjf.br/clinicaveterinaria,(32) 2102-3841 | (32) 2102-3845,clinica.veterinaria@ufjf.br
MEDICINA VETERINÁRIA,Coordenação de Curso,,(32) 2102-3590,coord.veterinaria@ufjf.br
MEDICINA VETERINÁRIA,Estágio (COE),,(32) 2102-3590,comissao.estagiovet@ufjf.br
MEDICINA VETERINÁRIA,Secretaria,https://www.ufjf.br/veterinaria,(32) 2102-6851,depto.veterinaria@ufjf.br
MEMORIAL DA REPÚBLICA ITAMAR FRANCO,"Agendamentos de visitas e propostas de ocupação do espaço (exposições, eventos, etc)",,,cultura.memorial@ufjf.br
MEMORIAL DA REPÚBLICA ITAMAR FRANCO,Arquivo,,,arquivo.memorial@ufjf.br
MEMORIAL DA REPÚBLICA ITAMAR FRANCO,Biblioteca,,,biblioteca.memorial@ufjf.br
MEMORIAL DA REPÚBLICA ITAMAR FRANCO,Secretaria,https://www.mrpitamarfranco.com.br,(32) 2102-3594,secretaria.memorial@ufjf.br
MEMORIAL DA REPÚBLICA PRESIDENTE ITAMAR FRANCO,Contato geral,https://mrpitamarfranco.com.br,(32) 3212-2078,secretaria.memorial@ufjf.br
MUSEU DE ARQUEOLOGIA E ETNOLOGIA AMERICANA – MAEA,Contato geral,https://www2.ufjf.br/procult/orgaos-executores/museu-de-arqueologia-e-etnologia-americana/,(32) 3211-7432,maea.ufjf@gmail.com
MUSEU DE ARTE MODERNA MURILO MENDES – MAMM,Biblioteca e Informação,,(32) 2102-3578,biblios.mam@ufjf.br
MUSEU DE ARTE MODERNA MURILO MENDES – MAMM,Difusão Cultural e Museologia,,(32) 2102-3583,museologia.mam@ufjf.br
MUSEU DE ARTE MODERNA MURILO MENDES – MAMM,Direção,,(32) 2102-3579,administracao.mam@ufjf.br
MUSEU DE ARTE MODERNA MURILO MENDES – MAMM,Laboratório de Conservação e Restauração de Papel,,(32) 2102-3580,
MUSEU DE ARTE MODERNA MURILO MENDES – MAMM,Laboratório de Conservação e Restauração de Pintura,,(32) 2102-3581,
MUSEU DE ARTE MODERNA MURILO MENDES – MAMM,Recepção,https://www.museudeartemurilomendes.com.br,(32) 2102-3582,administracao.mam@ufjf.br
MUSEU DE ARTE MODERNA MURILO MENDES – MAMM,Secretaria,,(32) 2102-3584,administracao.mam@ufjf.br
MUSEU DE ARTE MURILO MENDES – MAMM,Contato geral,http://www.museudeartemurilomendes.com.br,(32) 3229-7651,administracao.mam@ufjf.edu.br
NAI – Núcleo de Apoio À Inclusão,Intérpretes de Libras,,(32) 2102-3781,interpretesdelibrasufjf@gmail.com
NAI – Núcleo de Apoio À Inclusão,Secretaria,https://www.ufjf.br/nai,(32) 2102-3944,nucleo.nai@ufjf.br
NUTRIÇÃO,COE - Comissão de Orientação de Estágio,,(32) 2102-6375,coe.nutricao@ufjf.br
NUTRIÇÃO,Comissão de Trabalho de Conclusão de Curso (TCC),,,tcc.comissao@gmail.com
NUTRIÇÃO,Coordenação do Curso de Nutrição,https://www2.ufjf.br/nutricao,(32) 2102-3234,coord.nutricao@ufjf.br
NUTRIÇÃO,Departamento de Nutrição,,,dep.nutricao@ufjf.br
NUTRIÇÃO,"Laboratórios de Técnica Dietética, Análise Instrumental e Composição de Alimentos",,(32) 2102-3234,
NUTRIÇÃO,Secretaria,,(32) 2102-3229,
ODONTOLOGIA,ODONTOLOGIA - Biblioteca de Odontologia e Farmácia,,(32) 2102-3860,
ODONTOLOGIA,Comissão Orientadora de Estágios (COE),,,coe.odonto@ufjf.br
ODONTOLOGIA,Coordenação do Curso,,(32) 2102-3854,coord.odontologia@ufjf.br
ODONTOLOGIA,Coordenação do Programa de Pós-graduação em Odontologia,,(32) 2102-3881,ppg.odontologia@ufjf.br
ODONTOLOGIA,Departamento de Clínica Odontológica (CLO),,(32) 2102-3857,depto.clo@ufjf.br
ODONTOLOGIA,Departamento de Odontologia Restauradora – ORE,,(32) 2102-3859,depto.ore@ufjf.br
ODONTOLOGIA,Departamento de Odontologia Social e Infantil (OSI),,(32) 2102-3858,depto.osi@ufjf.br
ODONTOLOGIA,Direção,,(32) 2102-3850,direcao.odonto@ufjf.br
ODONTOLOGIA,Radiologia,,(32) 2102-3863  (de 07h às 13h),
ODONTOLOGIA,Secretaria,https://www.ufjf.br/odontologia,(32) 2102-3870,
ODONTOLOGIA,Triagem,,(32) 2102-3873/ 2102-3890,
OUVIDORIA,Ouvidoria Geral,https://www2.ufjf.br/ouvidoria/,(32) 2102-3380,ouvidoria@ufjf.br
OUVIDORIA,SIC – Serviço de Informação ao Cidadão,https://www.ufjf.br/ufjf/acesso-a-informacao/sic,(32) 2102-3996,sic@ufjf.br
PEDAGOGIA,Coordenação do Curso,https://www.ufjf.br/pedagogia,,coord.pedagogiadiurno@ufjf.br | coord.pedagogianoturno@ufjf.br
PEDAGOGIA UAB FACED,Secretaria,https://www.ufjf.br/pedagogia,(32) 2102-3668,pedagogia.uab@ufjf.br
PEDAGOGIA ESTÁGIO,ESTÁGIO,https://www.ufjf.br/pedagogia,,relatorioestagio.pedagogiadiurno@ufjf.br | relatorioestagio.pedagogianoturno@ufjf.br | estagio.pedagogiadiurno@ufjf.br | estagio.pedagogianoturno@ufjf.br
PRÓ-MÚSICA,,https://www2.ufjf.br/ufjf/culturaelazer/promusica/,(32) 3215-3951,
PRÓ-REITORIA DE CULTURA – PROCULT,Forum da Cultura,https://www.ufjf.br/procult/,(32) 2102-6305,forumdacultura@ufjf.br
PRÓ-REITORIA DE CULTURA – PROCULT,Gabinete,https://www.ufjf.br/procult/,(32) 2102-3987,
PRÓ-REITORIA DE CULTURA – PROCULT,Memorial da República Presidente Itamar Franco,https://www.ufjf.br/procult/,(32) 2102-3594,secretaria.memorial@ufjf.br
PRÓ-REITORIA DE CULTURA – PROCULT,Museu de Arqueologia e Etnologia Americana,https://www.ufjf.br/procult/,(32) 2102-6380,maea@ufjf.br
PRÓ-REITORIA DE CULTURA – PROCULT,Museu de Arte Murilo Mendes,https://www.ufjf.br/procult/,(32) 2102-3582 | (32) 2102-3583,producao.mamm@ufjf.br
PRÓ-REITORIA DE CULTURA – PROCULT,Secretaria da Procult,https://www.ufjf.br/procult/,(32) 2102-3964 | (32) 2102-3965,secretaria.procultura@ufjf.br
PROAE JUIZ DE FORA,Moradia,,,moradia.proae@ufjf.br
PROAE JUIZ DE FORA/GV,Pedagógico,,32) 2102-3887,pedagogia.gv@ufjf.br / pedagogico.proae@ufjf.br
PROAE JUIZ DE FORA,PROAE JUIZ DE FORA,https://www.ufjf.br/proae,(32) 2102-3777,secretaria.proae@ufjf.br
PROAE JUIZ DE FORA/GV,Psicologia,,,psicologia.gv@ufjf.br / psicologia.proae@ufjf.br
PROAE JUIZ DE FORA/GV,Serviço Social,,32) 2102-3886<,atendimentosocial.gv@ufjf.br
PROCURADORIA – ADVOCACIA GERAL DA UNIÃO (AGU),Atendimento Geral,,(32) 2102-3907 | (32) 2102-3988,procuradoria@ufjf.br
PROEX – PRÓ-REITORIA E EXTENSÃO,Cursinho Popular Garra,https://sites.google.com/view/garra-cursinho-popular,(32) 2102-3971,"acompanhamentoestudantil24@gmail.com, comunica.garra@gmail.com"
PROEX – PRÓ-REITORIA E EXTENSÃO,Centro de Ciências,https://www.ufjf.br/centrodeciencias,(32) 2102-6913,
PROEX – PRÓ-REITORIA E EXTENSÃO,Emissão de certificados,,,proexufjfcertificados@gmail.com
PROEX – PRÓ-REITORIA E EXTENSÃO,Emissão de certificados da PROEX,,,certificado.extensao@ufjf.br
PROEX – PRÓ-REITORIA E EXTENSÃO,Gerência de Ações de Extensão,,(32) 2102-3959 | (32) 2102-3961,extensao@ufjf.br
PROEX – PRÓ-REITORIA E EXTENSÃO,Intecoop – Incubadora Tecnológica de Cooperativas Populares,,(32) 2102-6313,intecoopufjf@gmail.com
PROEX – PRÓ-REITORIA E EXTENSÃO,Secretaria,https://www.ufjf.br/proex,(32) 2102-3971,secretaria.extensao@ufjf.br
PROEX – PRÓ-REITORIA E EXTENSÃO,Setor de Acompanhamento e Monitoramento,,(32) 2102-3962,monitoria.extensao@ufjf.br
PROEX – PRÓ-REITORIA E EXTENSÃO,Setor de Comunicação e Eventos,,(32) 2102-3961,eventosproexufjf@gmail.com
PROGEFI,Centro de Suprimentos,https://www2.ufjf.br/cosup/,(32) 2102-3739 | (32) 2102-3745 | (32) 2102-3740,logistica.cosup@ufjf.br
PROGEFI,Comissão de Gerenciamento do SCDP,https://www2.ufjf.br/scdp/,(32) 2102-3921,reservas.planejamento@ufjf.br
PROGEFI,Coordenação de Contratos,https://www2.ufjf.br/contratos/,(32) 2102-3920,contratos.proinfra@ufjf.br
PROGEFI,Coordenação de Convênios,https://www2.ufjf.br/convenio/,(32) 2102-3916,coord.convenios@ufjf.br
PROGEFI,Coordenação de Execução e Suporte Financeiro,https://www2.ufjf.br/coesf/,(32) 2102-3948,coesf@ufjf.br
PROGEFI,Gerência de Fiscalização e Administração de Contratos Terceirizados,,(32) 2102-3942,gfac.proinfra@ufjf.br
PROGEFI,Secretaria da PROGEFI,https://www2.ufjf.br/progefi/,(32) 2102-3918 | (32) 2102-3985,progefi@ufjf.br
PROGEPE,Coordenação de Administração de Pessoal (CAP),,(32) 2102-3923,cap.progepe@ufjf.br
PROGEPE,Gerência de Cadastro (GCAD/CAP),,(32) 2102-3925 | (32) 2102-3935,gerenciacadastro.progepe@ufjf.br
PROGEPE,Gerência de Remuneração (GREM/CAP),,(32) 2102-3924 | (32) 2102-3926,gerenciapagamento.progepe@ufjf.br
PROGEPE,Núcleo de Apoio e Gestão de Carreiras (NUGEC/ADJ),,(32) 2102-3931,carreiras.progepe@ufjf.br
PROGEPE,"Núcleo de Planejamento, Inovação e Assistência (NUPLA/ADJ)",,(32) 2102-3908 | (32) 2102-3928,nupla.progepe@ufjf.br
PROGEPE,Pró-reitoria Adjunta de Gestão de Pessoas (ADJ),,(32) 2102-3930,proreitoriaadjunta.progepe@ufjf.br
PROGEPE,PROQUALI – Programa de Apoio à Qualificação (NUDEP/ADJ),,(32) 2102-3937 | (32) 2102-3973,qualifica.progepe@ufjf.br
PROGEPE,Secretaria da PROGEPE,https://www.ufjf.br/progepe,(32) 2102-3930,secretaria.progepe@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Assistência à Saúde Suplementar (Plano de Saúde/CAP),,(32) 2102-3933,planodesaude.progepe@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Coordenação de Alocação e Movimentação de Pessoas (CAMP),,(32) 2102-3932,camp.progepe@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,"Coordenação de Saúde, Segurança e Bem-Estar (COSSBE)",,(32) 2102-3575,siass@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Equipe Multiprofissional,,(32) 2102-3296,
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Exames Admissionais,,(32) 2102-3885,gersaude.progepe@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Gerência de Alocação de Pessoas (GAP/CAMP),,(32) 2102-3927,gap.progepe@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Gerência de Recrutamento e Seleção do Quadro Efetivo (GRSECAMP),,(32) 2102-3929,grse.progepe@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Gerência de Recrutamento e Seleção do Quadro Temporário e Controle de Vagas (GRST/CAMP),,(32) 2102-3914,grst.progepe@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Gerência de Saúde do Trabalhador,,(32) 2102-3575 | (32) 2102-3815,
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Gerência de Segurança do Trabalho (GST/COSSBE),,(32) 2102-3817 | (32) 2102-3269,gst.progepe@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,PROADES – Programa de Avaliação de Desempenho dos Técnico-Administrativos em Educação (NUGEC/ADJ),https://proadj/nugec/proades/,(32) 2102-3913,proades@ufjf.br
PROGEPE – PRÓ-REITORIA DE GESTÃO DE PESSOAS,Secretaria da COSSBE/Unidade SIASS,,(32) 2102-3815,
PROGRAD – PRÓ-REITORIA DE GRADUAÇÃO,Coordenação de Licenciaturas,,,licenciaturas.prograd@ufjf.br
PROGRAD – PRÓ-REITORIA DE GRADUAÇÃO,Coordenação dos Programas de Graduação (bolsas),,(32) 2102-3787,coord.prograd@ufjf.br
PROGRAD – PRÓ-REITORIA DE GRADUAÇÃO,Gerência de Estágios,,(32) 2102-3776,estagio.prograd@ufjf.br
PROGRAD – PRÓ-REITORIA DE GRADUAÇÃO,"(Monitoria, Treinamento Profissional, PET, GET, outras)",,,
PROGRAD – PRÓ-REITORIA DE GRADUAÇÃO,Projeto de Universalização de Línguas Estrangeiras – PU,,(32) 2102-3383,projeto.universalizacao@ufjf.br
PROGRAD – PRÓ-REITORIA DE GRADUAÇÃO,Regulação,,(32) 2102-3905,piufjf.regulacao@gmail.com
PROGRAD – PRÓ-REITORIA DE GRADUAÇÃO,Secretaria,https://www.ufjf.br/prograd,(32) 2102-3975,secretaria.prograd@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Almoxarifado da Proinfra,,(32) 2102-3700,almox.proinfra@ufjf.br
PROINFRA – PRÓ-REITORIA DE INFRAESTRUTURA E GESTÃO,Arquitetos,,(32) 2102-3717,
